Организация;;;;;;Начальный остаток;Приход;Расход;Конечный остаток
Склад;;;;;;Количество;Количество;Количество;Количество
Источник финансирования;;;;;;;;;
Номенклатура;;;;;Ед. изм.;;;;
Серия номенклатуры, Партия;;;;;;;;;
Регистратор;;;;;;;;;
Отпуск в отделение 0000-000253 от 20.06.2024 10:44:25;;;;;;17 800,000;;300,000;17 500,000
Отпуск в отделение 0000-000258 от 24.06.2024 11:11:48;;;;;;17 500,000;;600,000;16 900,000
Отпуск в отделение 0000-000274 от 05.07.2024 10:46:09;;;;;;16 900,000;;600,000;16 300,000
Отпуск в отделение 0000-000277 от 05.07.2024 13:30:21;;;;;;16 300,000;;300,000;16 000,000
Отпуск в отделение 0000-000287 от 15.07.2024 10:08:21;;;;;;16 000,000;;296,000;15 704,000
Отпуск в отделение 0000-000295 от 17.07.2024 11:39:22;;;;;;15 704,000;;296,000;15 408,000
Отпуск в отделение 0000-000310 от 29.07.2024 11:47:29;;;;;;15 408,000;;296,000;15 112,000
Отпуск в отделение 0000-000315 от 02.08.2024 16:48:46;;;;;;15 112,000;;296,000;14 816,000
Отпуск в отделение 0000-000319 от 05.08.2024 13:43:28;;;;;;14 816,000;;592,000;14 224,000
Отпуск в отделение 0000-000322 от 07.08.2024 13:24:49;;;;;;14 224,000;;296,000;13 928,000
Отпуск в отделение 0000-000327 от 12.08.2024 11:34:32;;;;;;13 928,000;;600,000;13 328,000
Отпуск в отделение 0000-000330 от 12.08.2024 14:40:56;;;;;;13 328,000;;296,000;13 032,000
Поступление товаров 0000-000076 от 13.08.2024 11:00:17;;;;;;13 032,000;7 500,000;;20 532,000
Отпуск в отделение 0000-000337 от 14.08.2024 10:35:45;;;;;;20 532,000;;296,000;20 236,000
Отпуск в отделение 0000-000339 от 16.08.2024 13:43:29;;;;;;20 236,000;;100,000;20 136,000
Отпуск в отделение 0000-000342 от 19.08.2024 10:09:23;;;;;;20 136,000;;592,000;19 544,000
Отпуск в отделение 0000-000347 от 22.08.2024 11:55:08;;;;;;19 544,000;;296,000;19 248,000
Отпуск в отделение 0000-000357 от 28.08.2024 11:32:54;;;;;;19 248,000;;592,000;18 656,000
Отпуск в отделение 0000-000366 от 05.09.2024 15:31:33;;;;;;18 656,000;;296,000;18 360,000
Отпуск в отделение 0000-000369 от 09.09.2024 10:11:46;;;;;;18 360,000;;296,000;18 064,000
Отпуск в отделение 0000-000374 от 11.09.2024 11:18:03;;;;;;18 064,000;;888,000;17 176,000
Отпуск в отделение 0000-000381 от 19.09.2024 8:02:17;;;;;;17 176,000;;296,000;16 880,000
Отпуск в отделение 0000-000387 от 23.09.2024 10:58:19;;;;;;16 880,000;;296,000;16 584,000
Отпуск в отделение 0000-000391 от 27.09.2024 10:32:23;;;;;;16 584,000;;296,000;16 288,000
Отпуск в отделение 0000-000399 от 04.10.2024 10:29:22;;;;;;16 288,000;;296,000;15 992,000
Отпуск в отделение 0000-000401 от 08.10.2024 9:27:41;;;;;;15 992,000;;296,000;15 696,000
Отпуск в отделение 0000-000406 от 09.10.2024 10:42:08;;;;;;15 696,000;;296,000;15 400,000
Отпуск в отделение 0000-000408 от 11.10.2024 11:08:56;;;;;;15 400,000;;296,000;15 104,000
Отпуск в отделение 0000-000416 от 18.10.2024 11:09:16;;;;;;15 104,000;;592,000;14 512,000
Отпуск в отделение 0000-000419 от 21.10.2024 10:25:34;;;;;;14 512,000;;596,000;13 916,000
Отпуск в отделение 0000-000423 от 23.10.2024 10:21:22;;;;;;13 916,000;;292,000;13 624,000
Отпуск в отделение 0000-000425 от 23.10.2024 10:44:27;;;;;;13 624,000;;296,000;13 328,000
Отпуск в отделение 0000-000432 от 28.10.2024 10:26:41;;;;;;13 328,000;;296,000;13 032,000
Отпуск в отделение 0000-000446 от 06.11.2024 11:30:40;;;;;;13 032,000;;296,000;12 736,000
Отпуск в отделение 0000-000447 от 06.11.2024 11:33:57;;;;;;12 736,000;;296,000;12 440,000
Отпуск в отделение 0000-000458 от 15.11.2024 10:55:52;;;;;;12 440,000;;592,000;11 848,000
Отпуск в отделение 0000-000464 от 18.11.2024 11:55:07;;;;;;11 848,000;;296,000;11 552,000
Отпуск в отделение 0000-000466 от 20.11.2024 10:50:41;;;;;;11 552,000;;296,000;11 256,000
Поступление товаров 0000-000099 от 22.11.2024 10:27:34;;;;;;11 256,000;7 500,000;;18 756,000
Отпуск в отделение 0000-000470 от 22.11.2024 10:28:47;;;;;;18 756,000;;296,000;18 460,000
Отпуск в отделение 0000-000472 от 25.11.2024 9:48:13;;;;;;18 460,000;;296,000;18 164,000
Отпуск в отделение 0000-000481 от 28.11.2024 14:14:02;;;;;;18 164,000;;296,000;17 868,000
Отпуск в отделение 0000-000485 от 02.12.2024 10:16:42;;;;;;17 868,000;;296,000;17 572,000
Отпуск в отделение 0000-000497 от 06.12.2024 14:02:09;;;;;;17 572,000;;296,000;17 276,000
Отпуск в отделение 0000-000498 от 06.12.2024 14:05:26;;;;;;17 276,000;;296,000;16 980,000
Отпуск в отделение 0000-000501 от 09.12.2024 13:15:38;;;;;;16 980,000;;296,000;16 684,000
Отпуск в отделение 0000-000504 от 10.12.2024 14:11:47;;;;;;16 684,000;;296,000;16 388,000
Отпуск в отделение 0000-000509 от 16.12.2024 9:44:18;;;;;;16 388,000;;592,000;15 796,000
Отпуск в отделение 0000-000515 от 20.12.2024 11:21:08;;;;;;15 796,000;;296,000;15 500,000
Отпуск в отделение 0000-000524 от 25.12.2024 11:16:41;;;;;;15 500,000;;592,000;14 908,000
Отпуск в отделение 0000-000525 от 25.12.2024 16:33:37;;;;;;14 908,000;;296,000;14 612,000
Отпуск в отделение 0000-000526 от 25.12.2024 16:38:01;;;;;;14 612,000;;304,000;14 308,000
Отпуск в отделение 0000-000528 от 26.12.2024 16:32:39;;;;;;14 308,000;;296,000;14 012,000
Шприц одноразовый 5 мл;;;;;шт;;92 000,000;75 120,000;16 880,000
<серии не учитываются>, <партии не учитываются>;;;;;;;92 000,000;75 120,000;16 880,000
Поступление товаров 0000-000005 от 04.03.2024 11:48:17;;;;;;;23 000,000;;23 000,000
Отпуск в отделение 0000-000083 от 05.03.2024 16:22:02;;;;;;23 000,000;;560,000;22 440,000
Отпуск в отделение 0000-000087 от 06.03.2024 11:21:47;;;;;;22 440,000;;1 360,000;21 080,000
Отпуск в отделение 0000-000088 от 06.03.2024 11:24:26;;;;;;21 080,000;;680,000;20 400,000
Отпуск в отделение 0000-000091 от 11.03.2024 10:47:12;;;;;;20 400,000;;1 360,000;19 040,000
Отпуск в отделение 0000-000096 от 13.03.2024 9:46:08;;;;;;19 040,000;;680,000;18 360,000
Отпуск в отделение 0000-000100 от 14.03.2024 15:51:38;;;;;;18 360,000;;1 360,000;17 000,000
Отпуск в отделение 0000-000105 от 18.03.2024 11:18:10;;;;;;17 000,000;;680,000;16 320,000
Отпуск в отделение 0000-000106 от 20.03.2024 10:23:27;;;;;;16 320,000;;680,000;15 640,000
Отпуск в отделение 0000-000109 от 22.03.2024 10:41:58;;;;;;15 640,000;;680,000;14 960,000
Отпуск в отделение 0000-000113 от 22.03.2024 13:53:49;;;;;;14 960,000;;680,000;14 280,000
Отпуск в отделение 0000-000117 от 26.03.2024 14:46:02;;;;;;14 280,000;;680,000;13 600,000
Отпуск в отделение 0000-000118 от 27.03.2024 10:39:35;;;;;;13 600,000;;680,000;12 920,000
Отпуск в отделение 0000-000125 от 01.04.2024 11:38:11;;;;;;12 920,000;;680,000;12 240,000
Отпуск в отделение 0000-000132 от 03.04.2024 11:32:30;;;;;;12 240,000;;680,000;11 560,000
Отпуск в отделение 0000-000138 от 08.04.2024 11:11:51;;;;;;11 560,000;;680,000;10 880,000
Отпуск в отделение 0000-000141 от 09.04.2024 11:54:04;;;;;;10 880,000;;680,000;10 200,000
Отпуск в отделение 0000-000152 от 15.04.2024 9:08:21;;;;;;10 200,000;;680,000;9 520,000
Отпуск в отделение 0000-000158 от 17.04.2024 8:59:05;;;;;;9 520,000;;680,000;8 840,000
Отпуск в отделение 0000-000160 от 17.04.2024 10:08:58;;;;;;8 840,000;;680,000;8 160,000
Отпуск в отделение 0000-000164 от 22.04.2024 10:44:01;;;;;;8 160,000;;1 360,000;6 800,000
Отпуск в отделение 0000-000166 от 23.04.2024 10:16:06;;;;;;6 800,000;;680,000;6 120,000
Отпуск в отделение 0000-000176 от 26.04.2024 11:07:57;;;;;;6 120,000;;680,000;5 440,000
Отпуск в отделение 0000-000185 от 06.05.2024 11:28:59;;;;;;5 440,000;;680,000;4 760,000
Отпуск в отделение 0000-000186 от 06.05.2024 11:37:37;;;;;;4 760,000;;1 360,000;3 400,000
Отпуск в отделение 0000-000195 от 15.05.2024 11:39:36;;;;;;3 400,000;;680,000;2 720,000
Поступление товаров 0000-000033 от 15.05.2024 15:31:57;;;;;;2 720,000;23 000,000;;25 720,000
Отпуск в отделение 0000-000206 от 20.05.2024 15:28:22;;;;;;25 720,000;;560,000;25 160,000
Отпуск в отделение 0000-000207 от 20.05.2024 15:30:14;;;;;;25 160,000;;1 360,000;23 800,000
Отпуск в отделение 0000-000215 от 23.05.2024 15:23:32;;;;;;23 800,000;;680,000;23 120,000
Отпуск в отделение 0000-000222 от 27.05.2024 13:07:59;;;;;;23 120,000;;680,000;22 440,000
Отпуск в отделение 0000-000223 от 27.05.2024 13:09:11;;;;;;22 440,000;;680,000;21 760,000
Отпуск в отделение 0000-000226 от 29.05.2024 16:25:47;;;;;;21 760,000;;680,000;21 080,000
Отпуск в отделение 0000-000229 от 03.06.2024 11:46:51;;;;;;21 080,000;;1 360,000;19 720,000
Отпуск в отделение 0000-000239 от 10.06.2024 10:41:53;;;;;;19 720,000;;680,000;19 040,000
Отпуск в отделение 0000-000241 от 10.06.2024 11:01:56;;;;;;19 040,000;;680,000;18 360,000
Отпуск в отделение 0000-000253 от 20.06.2024 10:44:25;;;;;;18 360,000;;680,000;17 680,000
Отпуск в отделение 0000-000256 от 21.06.2024 9:57:09;;;;;;17 680,000;;1 360,000;16 320,000
Отпуск в отделение 0000-000258 от 24.06.2024 11:11:48;;;;;;16 320,000;;680,000;15 640,000
Отпуск в отделение 0000-000266 от 01.07.2024 9:00:02;;;;;;15 640,000;;680,000;14 960,000
Отпуск в отделение 0000-000269 от 01.07.2024 9:49:29;;;;;;14 960,000;;680,000;14 280,000
Отпуск в отделение 0000-000278 от 08.07.2024 10:06:57;;;;;;14 280,000;;680,000;13 600,000
Отпуск в отделение 0000-000284 от 12.07.2024 11:21:40;;;;;;13 600,000;;680,000;12 920,000
Отпуск в отделение 0000-000287 от 15.07.2024 10:08:21;;;;;;12 920,000;;680,000;12 240,000
Отпуск в отделение 0000-000295 от 17.07.2024 11:39:22;;;;;;12 240,000;;680,000;11 560,000
Отпуск в отделение 0000-000297 от 17.07.2024 15:45:02;;;;;;11 560,000;;680,000;10 880,000
Отпуск в отделение 0000-000301 от 22.07.2024 13:03:08;;;;;;10 880,000;;680,000;10 200,000
Отпуск в отделение 0000-000310 от 29.07.2024 11:47:29;;;;;;10 200,000;;680,000;9 520,000
Отпуск в отделение 0000-000315 от 02.08.2024 16:48:46;;;;;;9 520,000;;680,000;8 840,000
Отпуск в отделение 0000-000319 от 05.08.2024 13:43:28;;;;;;8 840,000;;1 360,000;7 480,000
Отпуск в отделение 0000-000322 от 07.08.2024 13:24:49;;;;;;7 480,000;;680,000;6 800,000
Отпуск в отделение 0000-000327 от 12.08.2024 11:34:32;;;;;;6 800,000;;680,000;6 120,000
Отпуск в отделение 0000-000330 от 12.08.2024 14:40:56;;;;;;6 120,000;;680,000;5 440,000
Поступление товаров 0000-000076 от 13.08.2024 11:00:17;;;;;;5 440,000;23 000,000;;28 440,000
Отпуск в отделение 0000-000337 от 14.08.2024 10:35:45;;;;;;28 440,000;;680,000;27 760,000
Отпуск в отделение 0000-000339 от 16.08.2024 13:43:29;;;;;;27 760,000;;560,000;27 200,000
Отпуск в отделение 0000-000342 от 19.08.2024 10:09:23;;;;;;27 200,000;;1 360,000;25 840,000
Отпуск в отделение 0000-000353 от 26.08.2024 10:23:25;;;;;;25 840,000;;680,000;25 160,000
Отпуск в отделение 0000-000357 от 28.08.2024 11:32:54;;;;;;25 160,000;;1 360,000;23 800,000
Отпуск в отделение 0000-000362 от 02.09.2024 11:34:19;;;;;;23 800,000;;1 360,000;22 440,000
Отпуск в отделение 0000-000366 от 05.09.2024 15:31:33;;;;;;22 440,000;;680,000;21 760,000
Отпуск в отделение 0000-000369 от 09.09.2024 10:11:46;;;;;;21 760,000;;680,000;21 080,000
Отпуск в отделение 0000-000374 от 11.09.2024 11:18:03;;;;;;21 080,000;;2 040,000;19 040,000
Отпуск в отделение 0000-000378 от 16.09.2024 10:35:31;;;;;;19 040,000;;680,000;18 360,000
Отпуск в отделение 0000-000381 от 19.09.2024 8:02:17;;;;;;18 360,000;;680,000;17 680,000
Отпуск в отделение 0000-000387 от 23.09.2024 10:58:19;;;;;;17 680,000;;680,000;17 000,000
Отпуск в отделение 0000-000391 от 27.09.2024 10:32:23;;;;;;17 000,000;;680,000;16 320,000
Отпуск в отделение 0000-000401 от 08.10.2024 9:27:41;;;;;;16 320,000;;1 360,000;14 960,000
Отпуск в отделение 0000-000406 от 09.10.2024 10:42:08;;;;;;14 960,000;;680,000;14 280,000
Отпуск в отделение 0000-000408 от 11.10.2024 11:08:56;;;;;;14 280,000;;680,000;13 600,000
Отпуск в отделение 0000-000416 от 18.10.2024 11:09:16;;;;;;13 600,000;;680,000;12 920,000
Отпуск в отделение 0000-000419 от 21.10.2024 10:25:34;;;;;;12 920,000;;1 360,000;11 560,000
Отпуск в отделение 0000-000425 от 23.10.2024 10:44:27;;;;;;11 560,000;;680,000;10 880,000
Отпуск в отделение 0000-000429 от 25.10.2024 9:39:33;;;;;;10 880,000;;680,000;10 200,000
Отпуск в отделение 0000-000432 от 28.10.2024 10:26:41;;;;;;10 200,000;;680,000;9 520,000
Отпуск в отделение 0000-000437 от 01.11.2024 15:42:28;;;;;;9 520,000;;680,000;8 840,000
Отпуск в отделение 0000-000447 от 06.11.2024 11:33:57;;;;;;8 840,000;;680,000;8 160,000
Отпуск в отделение 0000-000455 от 11.11.2024 13:26:22;;;;;;8 160,000;;680,000;7 480,000
Отпуск в отделение 0000-000458 от 15.11.2024 10:55:52;;;;;;7 480,000;;680,000;6 800,000
Отпуск в отделение 0000-000464 от 18.11.2024 11:55:07;;;;;;6 800,000;;680,000;6 120,000
Отпуск в отделение 0000-000466 от 20.11.2024 10:50:41;;;;;;6 120,000;;680,000;5 440,000
Поступление товаров 0000-000099 от 22.11.2024 10:27:34;;;;;;5 440,000;23 000,000;;28 440,000
Отпуск в отделение 0000-000470 от 22.11.2024 10:28:47;;;;;;28 440,000;;680,000;27 760,000
Отпуск в отделение 0000-000472 от 25.11.2024 9:48:13;;;;;;27 760,000;;680,000;27 080,000
Отпуск в отделение 0000-000485 от 02.12.2024 10:16:42;;;;;;27 080,000;;680,000;26 400,000
Отпуск в отделение 0000-000497 от 06.12.2024 14:02:09;;;;;;26 400,000;;680,000;25 720,000
Отпуск в отделение 0000-000498 от 06.12.2024 14:05:26;;;;;;25 720,000;;680,000;25 040,000
Отпуск в отделение 0000-000501 от 09.12.2024 13:15:38;;;;;;25 040,000;;680,000;24 360,000
Отпуск в отделение 0000-000504 от 10.12.2024 14:11:47;;;;;;24 360,000;;680,000;23 680,000
Отпуск в отделение 0000-000509 от 16.12.2024 9:44:18;;;;;;23 680,000;;1 360,000;22 320,000
Отпуск в отделение 0000-000512 от 17.12.2024 15:51:56;;;;;;22 320,000;;680,000;21 640,000
Отпуск в отделение 0000-000519 от 23.12.2024 15:19:50;;;;;;21 640,000;;680,000;20 960,000
Отпуск в отделение 0000-000524 от 25.12.2024 11:16:41;;;;;;20 960,000;;680,000;20 280,000
Отпуск в отделение 0000-000525 от 25.12.2024 16:33:37;;;;;;20 280,000;;680,000;19 600,000
Отпуск в отделение 0000-000526 от 25.12.2024 16:38:01;;;;;;19 600,000;;1 360,000;18 240,000
Отпуск в отделение 0000-000528 от 26.12.2024 16:32:39;;;;;;18 240,000;;1 360,000;16 880,000
